Phone Name,Min Price Per Month,Product Image,Product Url,Trade Offer
iPhone 15,$25,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Apple/iPhone-15?sku=195949115981&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
Samsung S24 5G,$5,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Samsung/Samsung-S24-5G?sku=887276802473&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
Pixel 8,$5,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Google/Pixel-8?sku=840244706746&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
iPhone 14,$20,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Apple/iPhone-14?sku=194253409359&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
Pixel 8 Pro,$15,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Google/Pixel-8-Pro?sku=840244705039&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
iPhone 15 Pro Max,$39,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Apple/iPhone-15-Pro-Max?sku=195949115868&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
iPhone 15 Pro,$30,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Apple/iPhone-15-Pro?sku=195949114748&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
iPhone 15 Plus,$30,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Apple/iPhone-15-Plus?sku=195949114304&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
Samsung S24 Ultra 5G,$35,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Samsung/Samsung-S24-Ultra-5G?sku=887276820385&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
Samsung A15,$0,https://images.ctfassets.net/szuukvy7owq5/6zcNIW8cgi6mPKrxirYvhH/177edc7de29e4c2f3be30e9e9faf1f86/Freedom_5G_icon_lg.png,https://shop.freedommobile.ca/en-CA/devices/Samsung/Samsung-A15?sku=887276817613&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
