Phone Name,Rates,Images,Product Url,Trade Offer
iPhone 15,$25 /mo.,https://images.ctfassets.net/szuukvy7owq5/6dzzoKCz255pkEV5OwpUTJ/b26c2c336f3aba0e4fdd7cc3b72ac290/iphone15-black-front.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Apple/iPhone-15?sku=195949115981&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
Samsung S24 5G,$5 /mo.,https://images.ctfassets.net/szuukvy7owq5/52O7rujgXiNiV7IjZOHRTD/6a63b933c665041aab3182054c0a0f86/s24_cobalt_frontback.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Samsung/Samsung-S24-5G?sku=887276802473&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
Pixel 8,$5 /mo.,https://images.ctfassets.net/szuukvy7owq5/4VyKMzwR63hFxQR4sNvIOZ/e73ef14537c6a10ab00156b76e13b168/pixel_8_front_back_black.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Google/Pixel-8?sku=840244706746&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
iPhone 14,$20 /mo.,https://images.ctfassets.net/szuukvy7owq5/6omob3yuY60B7FtueCgCBj/3e6bee95a20a2dedfa3513a388c49dbd/shop_devices_iphone14_0000s_0003_iPhone_14_Midnight_Pure_Back_iPhone_14_Midnight_Pure_Front_2-up_Screen__USEN.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Apple/iPhone-14?sku=194253409359&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
Pixel 8 Pro,$15 /mo.,https://images.ctfassets.net/szuukvy7owq5/5rzQetc1Uurol2wxf5movR/9c3b81f15e3dbf2cbf7cf02f943ccfed/pixel_8_pro_front_back_black.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Google/Pixel-8-Pro?sku=840244705039&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
iPhone 15 Pro Max,$39 /mo.,https://images.ctfassets.net/szuukvy7owq5/HyUNrOrv4Trr5oyhy1GoC/e49c44b8205dfee5dcf87b5e479c164d/iphone15promax-black-front.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Apple/iPhone-15-Pro-Max?sku=195949115868&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
iPhone 15 Pro,$30 /mo.,https://images.ctfassets.net/szuukvy7owq5/5wWKamd7jsiOxaEddwFm7a/300c023f9a0d761ae28a29f24c7b4163/iphone15pro-black-front.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Apple/iPhone-15-Pro?sku=195949114748&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
iPhone 15 Plus,$30 /mo.,https://images.ctfassets.net/szuukvy7owq5/3cN1aou0zw4LxKztsEsOyS/ac0035003ad83950a6bd7424b30d9eca/iphone15plus-black-front.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Apple/iPhone-15-Plus?sku=195949114304&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
Samsung S24 Ultra 5G,$35 /mo.,https://images.ctfassets.net/szuukvy7owq5/NBZTFLPFrq5nI2CbbEJe1/48ab22e09f15e6653bc389b792e4a6b4/s24ultra_grey_back_front_with_pen.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Samsung/Samsung-S24-Ultra-5G?sku=887276820385&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=TradeUp,
Samsung A15,$10 /mo.,https://images.ctfassets.net/szuukvy7owq5/46H1IlafPWebpY0wyxLM0k/b24ff82b770e47187ae5fc2ae8dee301/a15_blueblack_back_front.png?fm=webp&q=50,https://shop.freedommobile.ca/en-CA/devices/Samsung/Samsung-A15?sku=887276817613&planSku=Nationwide%20Unlimited%2075GB%20%2B%205G%20(with%20U.S.)&deviceOption=MyTab,
