Provider,Prices, Plans, Details
Koodo,30,10,Unlimited Canada-wide minutes
Koodo,34,20,Pick 1 Free Perk from options like Premium Voicemail
Koodo,39,40,Pick 1 Free Perk from options like Rollover Data
Koodo,44,50,Pick 1 Free Perk from options like Unlimited Long Distance Pack
Koodo,35,3,Unlimited Canada-wide minutes
Freedom,39,50,Nationwide Unlimited 50GB + 5G (with U.S.) Promo plan
Freedom,45,75,Nationwide Unlimited 75GB + 5G (with U.S.) plan
Freedom,50,100,Nationwide Unlimited 100GB + 5G (with U.S.) plan
Freedom,45,15,Roam Beyond 15GB plan
Freedom,65,60,Roam Beyond 60GB plan
Fido,25,1,Talk & Text 2
Fido,55,8,Talk Text & Data 6
Fido,75,10,Talk Text & Data 7
