Image URL,Rating,Phone Name,Discounted Price, Original Price
https://cdn.tmobile.com/content/dam/t-mobile/en-p/cell-phones/apple/Apple-iPhone-11/Black/Apple-iPhone-11-Black-thumbnail.jpg,Rating: 4.3 out of 5 stars.,iPhone 11,$0.00,$499.99
https://cdn.tmobile.com/content/dam/t-mobile/en-p/cell-phones/apple/Apple-iPhone-12/Black/Apple-iPhone-12-Black-thumbnail.png,Rating: 4.3 out of 5 stars.,iPhone 12,$99.99,$629.99
https://cdn.tmobile.com/content/dam/t-mobile/en-p/cell-phones/apple/Apple-iPhone-SE-3rd-gen/Midnight/Apple-iPhone-SE-3rd-gen-Midnight-thumbnail.png,Rating: 4.1 out of 5 stars.,iPhone SE (3rd gen),$0.00,$429.99
https://cdn.tmobile.com/content/dam/t-mobile/en-p/cell-phones/apple/Apple-iPhone-15/Black/Apple-iPhone-15-Black-thumbnail.png,Rating: 3.8 out of 5 stars.,iPhone 15,$579.99,$829.99
https://cdn.tmobile.com/content/dam/t-mobile/en-p/cell-phones/apple/Apple-iPhone-15-Plus/Black/Apple-iPhone-15-Plus-Black-thumbnail.png,Rating: 4.6 out of 5 stars.,iPhone 15 Plus,$679.99,$929.99
https://cdn.tmobile.com/content/dam/t-mobile/en-p/cell-phones/apple/Apple-iPhone-15-Pro/Black-Titanium/Apple-iPhone-15-Pro-Black-Titanium-thumbnail.png,Rating: 3.1 out of 5 stars.,iPhone 15 Pro,$749.99,$999.99
https://cdn.tmobile.com/content/dam/t-mobile/en-p/cell-phones/apple/Apple-iPhone-15-Pro-Max/Black-Titanium/Apple-iPhone-15-Pro-Max-Black-Titanium-thumbnail.png,Rating: 4.0 out of 5 stars.,iPhone 15 Pro Max,$949.99,$1199.99
https://cdn.tmobile.com/content/dam/t-mobile/en-p/cell-phones/samsung/Samsung-Galaxy-A15-5G/Blue-Black/Samsung-Galaxy-A15-5G-Blue-Black-thumbnail.png,Rating: 3.2 out of 5 stars.,Galaxy A15 5G,$0.00,$229.99
https://cdn.tmobile.com/content/dam/t-mobile/en-p/cell-phones/samsung/Samsung-Galaxy-A35-5G/Awesome-Navy/Samsung-Galaxy-A35-5G-Awesome-Navy-thumbnail.png,Rating: 4.6 out of 5 stars.,Galaxy A35 5G,$0.00,$399.99
https://cdn.tmobile.com/content/dam/t-mobile/en-p/cell-phones/samsung/Samsung-Galaxy-S23-FE/Graphite/Samsung-Galaxy-S23-FE-Graphite-thumbnail.png,Rating: 4.7 out of 5 stars.,Galaxy S23 FE,$99.99,$599.99
